sl_Без опыта работы,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
1,M,67.00,Прочее,91.00,Прочее,Продажи и маркетинг,58.00,Наука и техника,Без опыта работы,55,Mkt&HR,58.8,Placed,270000
2,M,79.33,Центральный регион,78.33,Прочее,Наука,77.48,Наука и техника,С опытом работы,86.5,Mkt&Жin,66.28,Placed,200000
3,M,65.00,Центральный регион,68.00,Центральный регион,Искусство,64.00,Продажи, маркетинг и менеджмент,Без опыта работы,75,Mkt&Жin,57.8,Placed,250000
4,M,56.00,Центральный регион,52.00,Центральный регион,Наука,52.00,Наука и техника,Без опыта работы,66,Mkt&HR,59.43,Без опыта работыt Placed,
5,M,85.80,Центральный регион,73.60,Центральный регион,Продажи и маркетинг,73.30,Продажи, маркетинг и менеджмент,Без опыта работы,96.8,Mkt&Жin,55.5,Placed,425000
6,M,55.00,Прочее,49.80,Прочее,Наука,67.25,Наука и техника,С опытом работы,55,Mkt&Жin,51.58,Без опыта работыt Placed,
7,Ж,46.00,Прочее,49.20,Прочее,Продажи и маркетинг,79.00,Продажи, маркетинг и менеджмент,Без опыта работы,74.28,Mkt&Жin,53.29,Без опыта работыt Placed,
8,M,82.00,Центральный регион,64.00,Центральный регион,Наука,66.00,Наука и техника,С опытом работы,67,Mkt&Жin,62.14,Placed,252000
9,M,73.00,Центральный регион,79.00,Центральный регион,Продажи и маркетинг,72.00,Продажи, маркетинг и менеджмент,Без опыта работы,91.34,Mkt&Жin,61.29,Placed,231000
10,M,58.00,Центральный регион,70.00,Центральный регион,Продажи и маркетинг,61.00,Продажи, маркетинг и менеджмент,Без опыта работы,54,Mkt&Жin,52.21,Без опыта работыt Placed,
11,M,58.00,Центральный регион,61.00,Центральный регион,Продажи и маркетинг,60.00,Продажи, маркетинг и менеджмент,С опытом работы,62,Mkt&HR,60.85,Placed,260000
12,M,69.60,Центральный регион,68.40,Центральный регион,Продажи и маркетинг,78.30,Продажи, маркетинг и менеджмент,С опытом работы,60,Mkt&Жin,63.7,Placed,250000
13,Ж,47.00,Центральный регион,55.00,Прочее,Наука,65.00,Продажи, маркетинг и менеджмент,Без опыта работы,62,Mkt&HR,65.04,Без опыта работыt Placed,
14,Ж,77.00,Центральный регион,87.00,Центральный регион,Продажи и маркетинг,59.00,Продажи, маркетинг и менеджмент,Без опыта работы,68,Mkt&Жin,68.63,Placed,218000
15,M,62.00,Центральный регион,47.00,Центральный регион,Продажи и маркетинг,50.00,Продажи, маркетинг и менеджмент,Без опыта работы,76,Mkt&HR,54.96,Без опыта работыt Placed,
16,Ж,65.00,Центральный регион,75.00,Центральный регион,Продажи и маркетинг,69.00,Продажи, маркетинг и менеджмент,С опытом работы,72,Mkt&Жin,64.66,Placed,200000
17,M,63.00,Центральный регион,66.20,Центральный регион,Продажи и маркетинг,65.60,Продажи, маркетинг и менеджмент,С опытом работы,60,Mkt&Жin,62.54,Placed,300000
18,Ж,55.00,Центральный регион,67.00,Центральный регион,Продажи и маркетинг,64.00,Продажи, маркетинг и менеджмент,Без опыта работы,60,Mkt&Жin,67.28,Без опыта работыt Placed,
19,Ж,63.00,Центральный регион,66.00,Центральный регион,Продажи и маркетинг,64.00,Продажи, маркетинг и менеджмент,Без опыта работы,68,Mkt&HR,64.08,Без опыта работыt Placed,
20,M,60.00,Прочее,67.00,Прочее,Искусство,70.00,Продажи, маркетинг и менеджмент,С опытом работы,50.48,Mkt&Жin,77.89,Placed,236000
21,M,62.00,Прочее,65.00,Прочее,Продажи и маркетинг,66.00,Продажи, маркетинг и менеджмент,Без опыта работы,50,Mkt&HR,56.7,Placed,265000
22,Ж,79.00,Прочее,76.00,Прочее,Продажи и маркетинг,85.00,Продажи, маркетинг и менеджмент,Без опыта работы,95,Mkt&Жin,69.06,Placed,393000
23,Ж,69.80,Прочее,60.80,Прочее,Наука,72.23,Наука и техника,Без опыта работы,55.53,Mkt&HR,68.81,Placed,360000
24,Ж,77.40,Прочее,60.00,Прочее,Наука,64.74,Наука и техника,С опытом работы,92,Mkt&Жin,63.62,Placed,300000
25,M,76.50,Прочее,97.70,Прочее,Наука,78.86,Наука и техника,Без опыта работы,97.4,Mkt&Жin,74.01,Placed,360000
26,Ж,52.58,Прочее,54.60,Центральный регион,Продажи и маркетинг,50.20,Продажи, маркетинг и менеджмент,С опытом работы,76,Mkt&Жin,65.33,Без опыта работыt Placed,
27,M,71.00,Прочее,79.00,Прочее,Продажи и маркетинг,66.00,Продажи, маркетинг и менеджмент,С опытом работы,94,Mkt&Жin,57.55,Placed,240000
28,M,63.00,Прочее,67.00,Прочее,Продажи и маркетинг,66.00,Продажи, маркетинг и менеджмент,Без опыта работы,68,Mkt&HR,57.69,Placed,265000
29,M,76.76,Прочее,76.50,Прочее,Продажи и маркетинг,67.50,Продажи, маркетинг и менеджмент,С опытом работы,73.35,Mkt&Жin,64.15,Placed,350000
30,M,62.00,Центральный регион,67.00,Центральный регион,Продажи и маркетинг,58.00,Продажи, маркетинг и менеджмент,Без опыта работы,77,Mkt&Жin,51.29,Без опыта работыt Placed,
31,Ж,64.00,Центральный регион,73.50,Центральный регион,Продажи и маркетинг,73.00,Продажи, маркетинг и менеджмент,Без опыта работы,52,Mkt&HR,56.7,Placed,250000
32,Ж,67.00,Центральный регион,53.00,Центральный регион,Наука,65.00,Наука и техника,Без опыта работы,64,Mkt&HR,58.32,Без опыта работыt Placed,
33,Ж,61.00,Центральный регион,81.00,Центральный регион,Продажи и маркетинг,66.40,Продажи, маркетинг и менеджмент,Без опыта работы,50.89,Mkt&HR,62.21,Placed,278000
34,Ж,87.00,Прочее,65.00,Прочее,Наука,81.00,Продажи, маркетинг и менеджмент,С опытом работы,88,Mkt&Жin,72.78,Placed,260000
35,M,62.00,Прочее,51.00,Прочее,Наука,52.00,Прочее,Без опыта работы,68.44,Mkt&HR,62.77,Без опыта работыt Placed,
36,Ж,69.00,Центральный регион,78.00,Центральный регион,Продажи и маркетинг,72.00,Продажи, маркетинг и менеджмент,Без опыта работы,71,Mkt&HR,62.74,Placed,300000
37,M,51.00,Центральный регион,44.00,Центральный регион,Продажи и маркетинг,57.00,Продажи, маркетинг и менеджмент,Без опыта работы,64,Mkt&Жin,51.45,Без опыта работыt Placed,
38,Ж,79.00,Центральный регион,76.00,Центральный регион,Наука,65.60,Наука и техника,Без опыта работы,58,Mkt&HR,55.47,Placed,320000
39,Ж,73.00,Прочее,58.00,Прочее,Наука,66.00,Продажи, маркетинг и менеджмент,Без опыта работы,53.7,Mkt&HR,56.86,Placed,240000
40,M,81.00,Прочее,68.00,Прочее,Наука,64.00,Наука и техника,Без опыта работы,93,Mkt&Жin,62.56,Placed,411000
41,Ж,78.00,Центральный регион,77.00,Прочее,Продажи и маркетинг,80.00,Продажи, маркетинг и менеджмент,Без опыта работы,60,Mkt&Жin,66.72,Placed,287000
42,Ж,74.00,Прочее,63.16,Прочее,Продажи и маркетинг,65.00,Продажи, маркетинг и менеджмент,С опытом работы,65,Mkt&HR,69.76,Без опыта работыt Placed,
43,M,49.00,Прочее,39.00,Центральный регион,Наука,65.00,Прочее,Без опыта работы,63,Mkt&Жin,51.21,Без опыта работыt Placed,
44,M,87.00,Прочее,87.00,Прочее,Продажи и маркетинг,68.00,Продажи, маркетинг и менеджмент,Без опыта работы,95,Mkt&HR,62.9,Placed,300000
45,Ж,77.00,Прочее,73.00,Прочее,Продажи и маркетинг,81.00,Продажи, маркетинг и менеджмент,С опытом работы,89,Mkt&Жin,69.7,Placed,200000
46,Ж,76.00,Центральный регион,64.00,Центральный регион,Наука,72.00,Наука и техника,Без опыта работы,58,Mkt&HR,66.53,Без опыта работыt Placed,
47,Ж,70.89,Прочее,71.98,Прочее,Наука,65.60,Продажи, маркетинг и менеджмент,Без опыта работы,68,Mkt&HR,71.63,Без опыта работыt Placed,
48,M,63.00,Центральный регион,60.00,Центральный регион,Продажи и маркетинг,57.00,Продажи, маркетинг и менеджмент,С опытом работы,78,Mkt&Жin,54.55,Placed,204000
49,M,63.00,Прочее,62.00,Прочее,Продажи и маркетинг,68.00,Продажи, маркетинг и менеджмент,Без опыта работы,64,Mkt&Жin,62.46,Placed,250000
50,Ж,50.00,Прочее,37.00,Прочее,Искусство,52.00,Прочее,Без опыта работы,65,Mkt&HR,56.11,Без опыта работыt Placed,
51,Ж,75.20,Центральный регион,73.20,Центральный регион,Наука,68.40,Продажи, маркетинг и менеджмент,Без опыта работы,65,Mkt&HR,62.98,Placed,200000
52,M,54.40,Центральный регион,61.12,Центральный регион,Продажи и маркетинг,56.20,Продажи, маркетинг и менеджмент,Без опыта работы,67,Mkt&HR,62.65,Без опыта работыt Placed,
53,Ж,40.89,Прочее,45.83,Прочее,Продажи и маркетинг,53.00,Продажи, маркетинг и менеджмент,Без опыта работы,71.2,Mkt&HR,65.49,Без опыта работыt Placed,
54,M,80.00,Прочее,70.00,Прочее,Наука,72.00,Наука и техника,Без опыта работы,87,Mkt&HR,71.04,Placed,450000
55,Ж,74.00,Центральный регион,60.00,Прочее,Наука,69.00,Продажи, маркетинг и менеджмент,Без опыта работы,78,Mkt&HR,65.56,Placed,216000
56,M,60.40,Центральный регион,66.60,Прочее,Наука,65.00,Продажи, маркетинг и менеджмент,Без опыта работы,71,Mkt&HR,52.71,Placed,220000
57,M,63.00,Прочее,71.40,Прочее,Продажи и маркетинг,61.40,Продажи, маркетинг и менеджмент,Без опыта работы,68,Mkt&Жin,66.88,Placed,240000
58,M,68.00,Центральный регион,76.00,Центральный регион,Продажи и маркетинг,74.00,Продажи, маркетинг и менеджмент,Без опыта работы,80,Mkt&Жin,63.59,Placed,360000
59,M,74.00,Центральный регион,62.00,Прочее,Наука,68.00,Продажи, маркетинг и менеджмент,Без опыта работы,74,Mkt&Жin,57.99,Placed,268000
60,M,52.60,Центральный регион,65.58,Прочее,Наука,72.11,Наука и техника,Без опыта работы,57.6,Mkt&Жin,56.66,Placed,265000
61,M,74.00,Центральный регион,70.00,Центральный регион,Наука,72.00,Продажи, маркетинг и менеджмент,С опытом работы,60,Mkt&Жin,57.24,Placed,260000
62,M,84.20,Центральный регион,73.40,Центральный регион,Продажи и маркетинг,66.89,Продажи, маркетинг и менеджмент,Без опыта работы,61.6,Mkt&Жin,62.48,Placed,300000
63,Ж,86.50,Прочее,64.20,Прочее,Наука,67.40,Наука и техника,Без опыта работы,59,Mkt&Жin,59.69,Placed,240000
64,M,61.00,Прочее,70.00,Прочее,Продажи и маркетинг,64.00,Продажи, маркетинг и менеджмент,Без опыта работы,68.5,Mkt&HR,59.5,Без опыта работыt Placed,
65,M,80.00,Прочее,73.00,Прочее,Продажи и маркетинг,75.00,Продажи, маркетинг и менеджмент,Без опыта работы,61,Mkt&Жin,58.78,Placed,240000
66,M,54.00,Прочее,47.00,Прочее,Наука,57.00,Продажи, маркетинг и менеджмент,Без опыта работы,89.69,Mkt&HR,57.1,Без опыта работыt Placed,
67,M,83.00,Прочее,74.00,Прочее,Наука,66.00,Продажи, маркетинг и менеджмент,Без опыта работы,68.92,Mkt&HR,58.46,Placed,275000
68,M,80.92,Прочее,78.50,Прочее,Продажи и маркетинг,67.00,Продажи, маркетинг и менеджмент,Без опыта работы,68.71,Mkt&Жin,60.99,Placed,275000
69,Ж,69.70,Центральный регион,47.00,Центральный регион,Продажи и маркетинг,72.70,Наука и техника,Без опыта работы,79,Mkt&HR,59.24,Без опыта работыt Placed,
70,M,73.00,Центральный регион,73.00,Центральный регион,Наука,66.00,Наука и техника,С опытом работы,70,Mkt&Жin,68.07,Placed,275000
71,M,82.00,Прочее,61.00,Прочее,Наука,62.00,Наука и техника,Без опыта работы,89,Mkt&Жin,65.45,Placed,360000
72,M,75.00,Прочее,70.29,Прочее,Продажи и маркетинг,71.00,Продажи, маркетинг и менеджмент,Без опыта работы,95,Mkt&Жin,66.94,Placed,240000
73,M,84.86,Прочее,67.00,Прочее,Наука,78.00,Продажи, маркетинг и менеджмент,Без опыта работы,95.5,Mkt&Жin,68.53,Placed,240000
74,M,64.60,Центральный регион,83.83,Прочее,Продажи и маркетинг,71.72,Продажи, маркетинг и менеджмент,Без опыта работы,86,Mkt&Жin,59.75,Placed,218000
75,M,56.60,Центральный регион,64.80,Центральный регион,Продажи и маркетинг,70.20,Продажи, маркетинг и менеджмент,Без опыта работы,84.27,Mkt&Жin,67.2,Placed,336000
76,Ж,59.00,Центральный регион,62.00,Прочее,Продажи и маркетинг,77.50,Продажи, маркетинг и менеджмент,Без опыта работы,74,Mkt&HR,67,Без опыта работыt Placed,
77,Ж,66.50,Прочее,70.40,Центральный регион,Искусство,71.93,Продажи, маркетинг и менеджмент,Без опыта работы,61,Mkt&Жin,64.27,Placed,230000
78,M,64.00,Прочее,80.00,Прочее,Наука,65.00,Наука и техника,С опытом работы,69,Mkt&Жin,57.65,Placed,500000
79,M,84.00,Прочее,90.90,Прочее,Наука,64.50,Наука и техника,Без опыта работы,86.04,Mkt&Жin,59.42,Placed,270000
80,Ж,69.00,Центральный регион,62.00,Центральный регион,Наука,66.00,Наука и техника,Без опыта работы,75,Mkt&HR,67.99,Без опыта работыt Placed,
81,Ж,69.00,Прочее,62.00,Прочее,Продажи и маркетинг,69.00,Продажи, маркетинг и менеджмент,С опытом работы,67,Mkt&HR,62.35,Placed,240000
82,M,81.70,Прочее,63.00,Прочее,Наука,67.00,Продажи, маркетинг и менеджмент,С опытом работы,86,Mkt&Жin,70.2,Placed,300000
83,M,63.00,Центральный регион,67.00,Центральный регион,Продажи и маркетинг,74.00,Продажи, маркетинг и менеджмент,Без опыта работы,82,Mkt&Жin,60.44,Без опыта работыt Placed,
84,M,84.00,Прочее,79.00,Прочее,Наука,68.00,Наука и техника,С опытом работы,84,Mkt&Жin,66.69,Placed,300000
85,M,70.00,Центральный регион,63.00,Прочее,Наука,70.00,Наука и техника,С опытом работы,55,Mkt&Жin,62,Placed,300000
86,Ж,83.84,Прочее,89.83,Прочее,Продажи и маркетинг,77.20,Продажи, маркетинг и менеджмент,С опытом работы,78.74,Mkt&Жin,76.18,Placed,400000
87,M,62.00,Прочее,63.00,Прочее,Продажи и маркетинг,64.00,Продажи, маркетинг и менеджмент,Без опыта работы,67,Mkt&Жin,57.03,Placed,220000
88,M,59.60,Центральный регион,51.00,Центральный регион,Наука,60.00,Прочее,Без опыта работы,75,Mkt&HR,59.08,Без опыта работыt Placed,
89,Ж,66.00,Центральный регион,62.00,Центральный регион,Продажи и маркетинг,73.00,Продажи, маркетинг и менеджмент,Без опыта работы,58,Mkt&HR,64.36,Placed,210000
90,Ж,84.00,Прочее,75.00,Прочее,Наука,69.00,Наука и техника,С опытом работы,62,Mkt&HR,62.36,Placed,210000
91,Ж,85.00,Прочее,90.00,Прочее,Продажи и маркетинг,82.00,Продажи, маркетинг и менеджмент,Без опыта работы,92,Mkt&Жin,68.03,Placed,300000
92,M,52.00,Центральный регион,57.00,Центральный регион,Продажи и маркетинг,50.80,Продажи, маркетинг и менеджмент,Без опыта работы,67,Mkt&HR,62.79,Без опыта работыt Placed,
93,Ж,60.23,Центральный регион,69.00,Центральный регион,Наука,66.00,Продажи, маркетинг и менеджмент,Без опыта работы,72,Mkt&Жin,59.47,Placed,230000
94,M,52.00,Центральный регион,62.00,Центральный регион,Продажи и маркетинг,54.00,Продажи, маркетинг и менеджмент,Без опыта работы,72,Mkt&HR,55.41,Без опыта работыt Placed,
95,M,58.00,Центральный регион,62.00,Центральный регион,Продажи и маркетинг,64.00,Продажи, маркетинг и менеджмент,Без опыта работы,53.88,Mkt&Жin,54.97,Placed,260000
96,M,73.00,Центральный регион,78.00,Прочее,Продажи и маркетинг,65.00,Продажи, маркетинг и менеджмент,С опытом работы,95.46,Mkt&Жin,62.16,Placed,420000
97,Ж,76.00,Центральный регион,70.00,Центральный регион,Наука,76.00,Продажи, маркетинг и менеджмент,С опытом работы,66,Mkt&Жin,64.44,Placed,300000
98,Ж,70.50,Центральный регион,62.50,Прочее,Продажи и маркетинг,61.00,Продажи, маркетинг и менеджмент,Без опыта работы,93.91,Mkt&Жin,69.03,Без опыта работыt Placed,
99,Ж,69.00,Центральный регион,73.00,Центральный регион,Продажи и маркетинг,65.00,Продажи, маркетинг и менеджмент,Без опыта работы,70,Mkt&Жin,57.31,Placed,220000
100,M,54.00,Центральный регион,82.00,Прочее,Продажи и маркетинг,63.00,Наука и техника,Без опыта работы,50,Mkt&Жin,59.47,Без опыта работыt Placed,
101,Ж,45.00,Прочее,57.00,Прочее,Продажи и маркетинг,58.00,Продажи, маркетинг и менеджмент,С опытом работы,56.39,Mkt&HR,64.95,Без опыта работыt Placed,
102,M,63.00,Центральный регион,72.00,Центральный регион,Продажи и маркетинг,68.00,Продажи, маркетинг и менеджмент,Без опыта работы,78,Mkt&HR,60.44,Placed,380000
103,Ж,77.00,Прочее,61.00,Прочее,Продажи и маркетинг,68.00,Продажи, маркетинг и менеджмент,С опытом работы,57.5,Mkt&Жin,61.31,Placed,300000
104,M,73.00,Центральный регион,78.00,Центральный регион,Наука,73.00,Наука и техника,С опытом работы,85,Mkt&HR,65.83,Placed,240000
105,M,69.00,Центральный регион,63.00,Прочее,Наука,65.00,Продажи, маркетинг и менеджмент,С опытом работы,55,Mkt&HR,58.23,Placed,360000
106,M,59.00,Центральный регион,64.00,Прочее,Наука,58.00,Наука и техника,Без опыта работы,85,Mkt&HR,55.3,Без опыта работыt Placed,
