,ID,Пол,Опыт работы,Индустрия,Специальность
0,1,M,Без опыта работы,Наука и техника,Продажи и маркетинг
1,2,M,С опытом работы,Наука и техника,Наука
2,3,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн
3,4,M,Без опыта работы,Наука и техника,Наука
4,5,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
5,6,M,С опытом работы,Наука и техника,Наука
6,7,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
7,8,M,С опытом работы,Наука и техника,Наука
8,9,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
9,10,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
10,11,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
11,12,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
12,13,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
13,14,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
14,15,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
15,16,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
16,17,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
17,18,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
18,19,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
19,20,M,С опытом работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн
21,22,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
22,23,Ж,Без опыта работы,Наука и техника,Наука
23,24,Ж,С опытом работы,Наука и техника,Наука
24,25,M,Без опыта работы,Наука и техника,Наука
25,26,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
26,27,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
27,28,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
28,29,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
29,30,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
30,31,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
31,32,Ж,Без опыта работы,Наука и техника,Наука
32,33,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
33,34,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Наука
34,35,M,Без опыта работы,Прочее,Наука
35,36,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
36,37,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
37,38,Ж,Без опыта работы,Наука и техника,Наука
38,39,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
39,40,M,Без опыта работы,Наука и техника,Наука
40,41,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
41,42,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
42,43,M,Без опыта работы,Прочее,Наука
43,44,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
44,45,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
45,46,Ж,Без опыта работы,Наука и техника,Наука
46,47,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
47,48,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
48,49,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
49,50,Ж,Без опыта работы,Прочее,Искусство и дизайн
50,51,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
51,52,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
52,53,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
53,54,M,Без опыта работы,Наука и техника,Наука
54,55,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
55,56,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
56,57,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
57,58,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
58,59,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
59,60,M,Без опыта работы,Наука и техника,Наука
60,61,M,С опытом работы,"Продажи, маркетинг и менеджмент",Наука
61,62,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
62,63,Ж,Без опыта работы,Наука и техника,Наука
63,64,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
64,65,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
65,66,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
66,67,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
67,68,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
68,69,Ж,Без опыта работы,Наука и техника,Продажи и маркетинг
69,70,M,С опытом работы,Наука и техника,Наука
70,71,M,Без опыта работы,Наука и техника,Наука
71,72,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
72,73,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
73,74,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
74,75,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
75,76,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
76,77,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн
77,78,M,С опытом работы,Наука и техника,Наука
78,79,M,Без опыта работы,Наука и техника,Наука
79,80,Ж,Без опыта работы,Наука и техника,Наука
80,81,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
81,82,M,С опытом работы,"Продажи, маркетинг и менеджмент",Наука
82,83,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
83,84,M,С опытом работы,Наука и техника,Наука
85,86,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
86,87,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
87,88,M,Без опыта работы,Прочее,Наука
88,89,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
89,90,Ж,С опытом работы,Наука и техника,Наука
90,91,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
91,92,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
92,93,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
93,94,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
94,95,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
95,96,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
96,97,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Наука
97,98,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
98,99,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
100,101,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
101,102,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
102,103,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
103,104,M,С опытом работы,Наука и техника,Наука
104,105,M,С опытом работы,"Продажи, маркетинг и менеджмент",Наука
105,106,M,Без опыта работы,Наука и техника,Наука
106,107,M,Без опыта работы,Наука и техника,Наука
107,108,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
108,109,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
109,110,M,С опытом работы,Наука и техника,Наука
110,111,Ж,Без опыта работы,Наука и техника,Наука
111,112,M,Без опыта работы,Наука и техника,Наука
112,113,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
113,114,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
114,115,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
115,116,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
116,117,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
117,118,M,Без опыта работы,Наука и техника,Наука
118,119,M,С опытом работы,Наука и техника,Наука
119,120,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
120,121,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
121,122,Ж,С опытом работы,Наука и техника,Наука
122,123,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн
123,124,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
124,125,M,С опытом работы,Прочее,Наука
125,126,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
126,127,Ж,С опытом работы,Наука и техника,Наука
127,128,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
128,129,M,С опытом работы,Наука и техника,Наука
129,130,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
130,131,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
131,132,Ж,С опытом работы,Прочее,Наука
132,133,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
133,134,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
134,135,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
135,136,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
136,137,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн
137,138,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
138,139,Ж,С опытом работы,Наука и техника,Наука
139,140,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
140,141,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
141,142,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
142,143,M,С опытом работы,Наука и техника,Наука
143,144,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
144,145,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн
145,146,M,Без опыта работы,Наука и техника,Наука
146,147,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
147,148,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
148,149,Ж,Без опыта работы,Прочее,Искусство и дизайн
149,150,M,С опытом работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн
150,151,M,С опытом работы,Наука и техника,Наука
151,152,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
152,153,Ж,Без опыта работы,Наука и техника,Наука
153,154,M,С опытом работы,Наука и техника,Наука
154,155,M,С опытом работы,"Продажи, маркетинг и менеджмент",Наука
155,156,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
156,157,M,С опытом работы,Наука и техника,Наука
157,158,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
158,159,M,Без опыта работы,Наука и техника,Наука
159,160,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
160,161,M,С опытом работы,Наука и техника,Наука
161,162,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
162,163,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
163,164,M,Без опыта работы,Наука и техника,Наука
164,165,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
165,166,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
166,167,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
167,168,M,С опытом работы,Наука и техника,Наука
168,169,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
169,170,M,Без опыта работы,Наука и техника,Наука
170,171,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
171,172,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
172,173,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
173,174,Ж,Без опыта работы,Наука и техника,Наука
174,175,M,С опытом работы,Наука и техника,Наука
175,176,M,Без опыта работы,Наука и техника,Наука
176,177,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
177,178,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
178,179,M,Без опыта работы,Наука и техника,Наука
179,180,Ж,Без опыта работы,Наука и техника,Наука
180,181,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
181,182,M,Без опыта работы,Наука и техника,Наука
182,183,M,С опытом работы,Прочее,Искусство и дизайн
183,184,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
184,185,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
185,186,Ж,Без опыта работы,Прочее,Наука
186,187,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
187,188,M,С опытом работы,Наука и техника,Наука
188,189,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
189,190,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
191,192,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
192,193,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
193,194,Ж,С опытом работы,Прочее,Искусство и дизайн
194,195,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
195,196,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
196,197,M,С опытом работы,Наука и техника,Наука
197,198,Ж,Без опыта работы,Наука и техника,Наука
198,199,Ж,Без опыта работы,Прочее,Продажи и маркетинг
199,200,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
200,201,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
201,202,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
202,203,M,Без опыта работы,Наука и техника,Наука
203,204,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
204,205,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
205,206,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
206,207,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
207,208,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
208,209,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
209,210,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
210,211,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
211,212,M,Без опыта работы,Наука и техника,Наука
212,213,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
213,214,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг
214,215,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука
