,ID,Пол,РШО,РВУЗ,Индустрия,Специализация,Опыт работы,Рабочая специализация,Статус успешности
3,4,M,Центральный регион,Центральный регион,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
5,6,M,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,Успешен
6,7,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
9,10,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
12,13,Ж,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
14,15,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
17,18,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
18,19,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
25,26,Ж,Прочее,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,Успешен
29,30,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
31,32,Ж,Центральный регион,Центральный регион,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
34,35,M,Прочее,Прочее,Наука,Прочее,Без опыта работы,Маркетинг и кадры,Успешен
36,37,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
41,42,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,Успешен
42,43,M,Прочее,Центральный регион,Наука,Прочее,Без опыта работы,Маркетинг и финансы,Успешен
45,46,Ж,Центральный регион,Центральный регион,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
46,47,Ж,Прочее,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
49,50,Ж,Прочее,Прочее,Искусство и дизайн,Прочее,Без опыта работы,Маркетинг и кадры,Успешен
51,52,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
52,53,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
63,64,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
65,66,M,Прочее,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
68,69,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
75,76,Ж,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
79,80,Ж,Центральный регион,Центральный регион,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
82,83,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
87,88,M,Центральный регион,Центральный регион,Наука,Прочее,Без опыта работы,Маркетинг и кадры,Успешен
91,92,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
93,94,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
97,98,Ж,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
99,100,M,Центральный регион,Прочее,Продажи и маркетинг,Наука и техника,Без опыта работы,Маркетинг и финансы,Не успешен
100,101,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,Успешен
105,106,M,Центральный регион,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
106,107,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,Успешен
109,110,M,Центральный регион,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и кадры,Успешен
111,112,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
120,121,M,Прочее,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
130,131,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
136,137,Ж,Центральный регион,Центральный регион,Искусство и дизайн,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
141,142,M,Центральный регион,Центральный регион,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
144,145,M,Прочее,Прочее,Искусство и дизайн,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
149,150,M,Центральный регион,Центральный регион,Искусство и дизайн,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,Успешен
155,156,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,Успешен
158,159,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,Успешен
159,160,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
161,162,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
165,166,Ж,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
167,168,M,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,Успешен
168,169,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,Успешен
169,170,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
170,171,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
173,174,Ж,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
175,176,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
179,180,Ж,Центральный регион,Центральный регион,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
181,182,M,Центральный регион,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
182,183,M,Прочее,Прочее,Искусство и дизайн,Прочее,С опытом работы,Маркетинг и финансы,Успешен
184,185,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
186,187,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
188,189,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
189,190,Ж,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
190,191,Ж,Прочее,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Не успешен
194,195,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
198,199,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,Прочее,Без опыта работы,Маркетинг и кадры,Успешен
201,202,M,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
206,207,M,Центральный регион,Центральный регион,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
208,209,Ж,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
214,215,M,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
