,ID,Пол,РШО,РВУЗ,Индустрия,Специализация,Опыт работы,Рабочая специализация,Зарплата,Статус успешности,Кадровый статус
0,1,M,Прочее,Прочее,Продажи и маркетинг,Наука и техника,Без опыта работы,Маркетинг и кадры,270000.0,Успешен,Высокооплачиваемая работа
1,2,M,Центральный регион,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,200000.0,Успешен,Среднеоплачиваемая работа
2,3,M,Центральный регион,Центральный регион,Искусство и дизайн,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
4,5,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,425000.0,Успешен,Высокооплачиваемая работа
7,8,M,Центральный регион,Центральный регион,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,252000.0,Успешен,Высокооплачиваемая работа
8,9,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,231000.0,Успешен,Высокооплачиваемая работа
10,11,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,260000.0,Успешен,Высокооплачиваемая работа
11,12,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
13,14,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,218000.0,Успешен,Высокооплачиваемая работа
15,16,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,200000.0,Успешен,Среднеоплачиваемая работа
16,17,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
19,20,M,Прочее,Прочее,Искусство и дизайн,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,236000.0,Успешен,Высокооплачиваемая работа
20,21,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,265000.0,Не успешен,Высокооплачиваемая работа
21,22,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,393000.0,Успешен,Высокооплачиваемая работа
22,23,Ж,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,360000.0,Успешен,Высокооплачиваемая работа
23,24,Ж,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
24,25,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,360000.0,Успешен,Высокооплачиваемая работа
26,27,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,240000.0,Успешен,Высокооплачиваемая работа
27,28,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,265000.0,Успешен,Высокооплачиваемая работа
28,29,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,350000.0,Успешен,Высокооплачиваемая работа
30,31,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,250000.0,Успешен,Высокооплачиваемая работа
32,33,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,278000.0,Успешен,Высокооплачиваемая работа
33,34,Ж,Прочее,Прочее,Наука,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,260000.0,Успешен,Высокооплачиваемая работа
35,36,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,300000.0,Успешен,Высокооплачиваемая работа
37,38,Ж,Центральный регион,Центральный регион,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,320000.0,Успешен,Высокооплачиваемая работа
38,39,Ж,Прочее,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,240000.0,Успешен,Высокооплачиваемая работа
39,40,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,411000.0,Успешен,Высокооплачиваемая работа
40,41,Ж,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,287000.0,Успешен,Высокооплачиваемая работа
43,44,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,300000.0,Успешен,Высокооплачиваемая работа
44,45,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,200000.0,Успешен,Среднеоплачиваемая работа
47,48,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,204000.0,Успешен,Высокооплачиваемая работа
48,49,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
50,51,Ж,Центральный регион,Центральный регион,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,200000.0,Успешен,Среднеоплачиваемая работа
53,54,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,450000.0,Успешен,Высокооплачиваемая работа
54,55,Ж,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,216000.0,Успешен,Высокооплачиваемая работа
55,56,M,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,220000.0,Успешен,Высокооплачиваемая работа
56,57,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,240000.0,Успешен,Высокооплачиваемая работа
57,58,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,360000.0,Успешен,Высокооплачиваемая работа
58,59,M,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,268000.0,Успешен,Высокооплачиваемая работа
59,60,M,Центральный регион,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,265000.0,Успешен,Высокооплачиваемая работа
60,61,M,Центральный регион,Центральный регион,Наука,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,260000.0,Успешен,Высокооплачиваемая работа
61,62,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
62,63,Ж,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,240000.0,Успешен,Высокооплачиваемая работа
64,65,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,240000.0,Успешен,Высокооплачиваемая работа
66,67,M,Прочее,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,275000.0,Успешен,Высокооплачиваемая работа
67,68,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,275000.0,Успешен,Высокооплачиваемая работа
69,70,M,Центральный регион,Центральный регион,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,275000.0,Успешен,Высокооплачиваемая работа
70,71,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,360000.0,Успешен,Высокооплачиваемая работа
71,72,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,240000.0,Успешен,Высокооплачиваемая работа
72,73,M,Прочее,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,240000.0,Успешен,Высокооплачиваемая работа
73,74,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,218000.0,Успешен,Высокооплачиваемая работа
74,75,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,336000.0,Успешен,Высокооплачиваемая работа
76,77,Ж,Прочее,Центральный регион,Искусство и дизайн,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,230000.0,Успешен,Высокооплачиваемая работа
77,78,M,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,500000.0,Успешен,Высокооплачиваемая работа
78,79,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,270000.0,Успешен,Высокооплачиваемая работа
80,81,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,240000.0,Успешен,Высокооплачиваемая работа
81,82,M,Прочее,Прочее,Наука,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
83,84,M,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
84,85,M,Центральный регион,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
85,86,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,400000.0,Успешен,Высокооплачиваемая работа
86,87,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,220000.0,Успешен,Высокооплачиваемая работа
88,89,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,210000.0,Успешен,Высокооплачиваемая работа
89,90,Ж,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и кадры,210000.0,Успешен,Высокооплачиваемая работа
90,91,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
92,93,Ж,Центральный регион,Центральный регион,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,230000.0,Успешен,Высокооплачиваемая работа
94,95,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,260000.0,Успешен,Высокооплачиваемая работа
95,96,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,420000.0,Успешен,Высокооплачиваемая работа
96,97,Ж,Центральный регион,Центральный регион,Наука,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
98,99,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,220000.0,Успешен,Высокооплачиваемая работа
101,102,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,380000.0,Успешен,Высокооплачиваемая работа
102,103,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
103,104,M,Центральный регион,Центральный регион,Наука,Наука и техника,С опытом работы,Маркетинг и кадры,240000.0,Успешен,Высокооплачиваемая работа
104,105,M,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,360000.0,Успешен,Высокооплачиваемая работа
107,108,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,200000.0,Успешен,Среднеоплачиваемая работа
108,109,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
110,111,Ж,Центральный регион,Центральный регион,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,250000.0,Успешен,Высокооплачиваемая работа
112,113,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,250000.0,Успешен,Высокооплачиваемая работа
113,114,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,280000.0,Успешен,Высокооплачиваемая работа
114,115,M,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,250000.0,Успешен,Высокооплачиваемая работа
115,116,Ж,Прочее,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,216000.0,Успешен,Высокооплачиваемая работа
116,117,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
117,118,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,240000.0,Успешен,Высокооплачиваемая работа
118,119,M,Центральный регион,Центральный регион,Наука,Наука и техника,С опытом работы,Маркетинг и кадры,276000.0,Успешен,Высокооплачиваемая работа
119,120,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,940000.0,Успешен,Высокооплачиваемая работа
121,122,Ж,Центральный регион,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и кадры,250000.0,Успешен,Высокооплачиваемая работа
122,123,Ж,Центральный регион,Центральный регион,Искусство и дизайн,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,236000.0,Успешен,Высокооплачиваемая работа
123,124,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,240000.0,Успешен,Высокооплачиваемая работа
124,125,M,Центральный регион,Центральный регион,Наука,Прочее,С опытом работы,Маркетинг и кадры,250000.0,Успешен,Высокооплачиваемая работа
125,126,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,350000.0,Успешен,Высокооплачиваемая работа
126,127,Ж,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,210000.0,Успешен,Высокооплачиваемая работа
127,128,Ж,Прочее,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,250000.0,Успешен,Высокооплачиваемая работа
128,129,M,Центральный регион,Центральный регион,Наука,Наука и техника,С опытом работы,Маркетинг и кадры,400000.0,Успешен,Высокооплачиваемая работа
129,130,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
131,132,Ж,Прочее,Прочее,Наука,Прочее,С опытом работы,Маркетинг и финансы,360000.0,Успешен,Высокооплачиваемая работа
132,133,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,300000.0,Успешен,Высокооплачиваемая работа
133,134,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,250000.0,Успешен,Высокооплачиваемая работа
134,135,Ж,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
135,136,Ж,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,200000.0,Успешен,Среднеоплачиваемая работа
137,138,M,Прочее,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,225000.0,Успешен,Высокооплачиваемая работа
138,139,Ж,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
139,140,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,220000.0,Успешен,Высокооплачиваемая работа
140,141,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,265000.0,Успешен,Высокооплачиваемая работа
142,143,M,Центральный регион,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,260000.0,Успешен,Высокооплачиваемая работа
143,144,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
145,146,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,400000.0,Успешен,Высокооплачиваемая работа
146,147,M,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,233000.0,Успешен,Высокооплачиваемая работа
147,148,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
148,149,Ж,Центральный регион,Центральный регион,Искусство и дизайн,Прочее,Без опыта работы,Маркетинг и финансы,240000.0,Успешен,Высокооплачиваемая работа
150,151,M,Центральный регион,Центральный регион,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,690000.0,Успешен,Высокооплачиваемая работа
151,152,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,270000.0,Успешен,Высокооплачиваемая работа
152,153,Ж,Прочее,Центральный регион,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,240000.0,Успешен,Высокооплачиваемая работа
153,154,M,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,340000.0,Успешен,Высокооплачиваемая работа
154,155,M,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
156,157,M,Центральный регион,Центральный регион,Наука,Наука и техника,С опытом работы,Маркетинг и кадры,255000.0,Успешен,Высокооплачиваемая работа
157,158,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
160,161,M,Центральный регион,Центральный регион,Наука,Наука и техника,С опытом работы,Маркетинг и кадры,300000.0,Успешен,Высокооплачиваемая работа
162,163,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,285000.0,Успешен,Высокооплачиваемая работа
163,164,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,500000.0,Успешен,Высокооплачиваемая работа
164,165,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
166,167,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,240000.0,Успешен,Высокооплачиваемая работа
171,172,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,290000.0,Успешен,Высокооплачиваемая работа
172,173,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,300000.0,Успешен,Высокооплачиваемая работа
174,175,M,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,500000.0,Успешен,Высокооплачиваемая работа
176,177,Ж,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,220000.0,Успешен,Высокооплачиваемая работа
177,178,Ж,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,650000.0,Успешен,Высокооплачиваемая работа
178,179,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,350000.0,Успешен,Высокооплачиваемая работа
180,181,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,265000.0,Успешен,Высокооплачиваемая работа
183,184,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,276000.0,Успешен,Высокооплачиваемая работа
185,186,Ж,Центральный регион,Центральный регион,Наука,Прочее,Без опыта работы,Маркетинг и кадры,252000.0,Успешен,Высокооплачиваемая работа
187,188,M,Центральный регион,Центральный регион,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,280000.0,Успешен,Высокооплачиваемая работа
191,192,M,Прочее,Центральный регион,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,264000.0,Успешен,Высокооплачиваемая работа
192,193,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,270000.0,Успешен,Высокооплачиваемая работа
193,194,Ж,Центральный регион,Центральный регион,Искусство и дизайн,Прочее,С опытом работы,Маркетинг и кадры,300000.0,Успешен,Высокооплачиваемая работа
195,196,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,275000.0,Успешен,Высокооплачиваемая работа
196,197,M,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
197,198,Ж,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,260000.0,Успешен,Высокооплачиваемая работа
199,200,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,265000.0,Успешен,Высокооплачиваемая работа
200,201,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
202,203,M,Центральный регион,Центральный регион,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,240000.0,Успешен,Высокооплачиваемая работа
203,204,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,260000.0,Успешен,Высокооплачиваемая работа
204,205,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,210000.0,Успешен,Высокооплачиваемая работа
205,206,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,250000.0,Успешен,Высокооплачиваемая работа
207,208,M,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,300000.0,Успешен,Высокооплачиваемая работа
209,210,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,216000.0,Успешен,Высокооплачиваемая работа
210,211,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,400000.0,Успешен,Высокооплачиваемая работа
211,212,M,Прочее,Прочее,Наука,Наука и техника,Без опыта работы,Маркетинг и финансы,275000.0,Успешен,Высокооплачиваемая работа
212,213,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,295000.0,Успешен,Высокооплачиваемая работа
213,214,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,204000.0,Успешен,Высокооплачиваемая работа
